"文物采样点","SiO2","Na2O","K2O","CaO","MgO","Al2O3","Fe2O3","CuO","PbO","BaO","P2O5","SrO","SnO2","SO2"
"1",0.710275586517775,0,0.102346071099273,0.0647474643991394,0.00891302120684356,0.0402622682102244,0.0178260424136871,0.039647577092511,0,0,0.0119864767954103,0,0,0.00399549226513677
"2",0.363199519471419,0,0.0105115627189909,0.0234257683451797,0.0118129942937231,0.0573630994093503,0.0186204825307839,0.00260286314946441,0.474822304534988,0,0.035739313244569,0.00190209230153168,0,0
"03部位1",0.8705,0,0.0519,0.0201,0,0.0406,0,0.0078,0.0025,0,0.0066,0,0,0
"03部位2",0.624089805825243,0,0.125101132686084,0.0593648867313916,0.0112257281553398,0.0556229773462783,0.0218446601941748,0.0514765372168285,0.0142597087378641,0.0289239482200647,0.00707928802588997,0.00101132686084142,0,0
"4",0.685821361648969,0,0.100666250260254,0.0741203414532584,0.0162398500936914,0.0670414324380595,0.0214449302519259,0.0226941494899021,0,0,0.00822402665001041,0,0,0.00374765771392879
"5",0.63806859392809,0,0.113459745104134,0.0761579110972956,0.0183400683866957,0.0777121541809139,0.0271474458605326,0.0338824992228785,0,0,0.00973992332400788,0.000621697233447311,0,0.00486996166200394
"06部位1",0.683885968459361,0,0.0745046502224019,0,0.0200161746866154,0.112717347351395,0.0241609381318237,0.0253740396279822,0.00202183582693085,0.0139506672058229,0.0422563687828548,0.00111200970481197,0,0
"06部位2",0.605119384864427,0,0.0777013354917038,0.0547349251315257,0.0175030352084176,0.101679481991097,0.0611088628085795,0.0220558478348847,0.00354107648725212,0.00981384055038446,0.0455281262646702,0.00121408336705787,0,0
"7",0.929087261785356,0,0,0.0107321965897693,0,0.0198595787362086,0.00170511534603811,0.0324974924774323,0,0,0.00611835506519559,0,0,0
"8",0.201763173712683,0,0,0.0148266880384692,0,0.0134241634942897,0,0.104287717892206,0.287317170907634,0.312863153676618,0.0359647365257463,0.00370667200961731,0,0.0258465237427369
"08严重风化点",0.0469258957654723,0,0,0.0324714983713355,0,0.0112988599348534,0,0.0319625407166124,0.330313517915309,0.311685667752443,0.0769543973941368,0.00539495114006515,0,0.152992671009772
"9",0.952390498145735,0,0.00591360128295079,0.0062142928736093,0,0.0132304299889746,0.00320737696702416,0.0155357321840233,0,0,0.00350806855768267,0,0,0
"10",0.969542130047089,0,0.00921751327522292,0.00210399759543132,0,0.00811541929666366,0.00260494940386735,0.00841599038172528,0,0,0,0,0,0
"11",0.352133347311039,0,0.0022014886256421,0.0367963098857323,0.00744312821050425,0.0282000209665583,0,0.0516825663067407,0.2661704581193,0.153160708669672,0.0983331586120138,0.00387881329279799,0,0
"12",0.946971979511901,0,0.0101436175554886,0.00723109370292257,0,0.0146630511198152,0.00291252385256603,0.0165712564025309,0,0,0.00150647785477553,0,0,0
"13",0.601283880171184,0.0291420419808437,0.127674750356633,0.0886488689627063,0,0.0627674750356633,0.0293458324842062,0.0481964540452415,0,0,0.0129406969635215,0,0,0
"14",0.631010101010101,0.0341414141414141,0.124040404040404,0.0831313131313131,0.00666666666666667,0.0932323232323232,0.00505050505050505,0.00474747474747475,0.0163636363636364,0,0.00161616161616162,0,0,0
"16",0.662331063916269,0.0213392947871151,0.147545981099482,0.0840361751854486,0.00528401585204756,0.0627984960877959,0.00426785895742303,0.0108728787724825,0.00111777258408698,0,0,0.000406462757849812,0,0
"18",0.81706940874036,0,0.0968637532133676,0,0.01573264781491,0.0313624678663239,0,0,0,0,0.0139845758354756,0.000719794344473008,0.02426735218509,0
"19",0.300121506682868,0,0,0.0296678817334953,0.00597407857432159,0.0361482381530984,0.0134669906844876,0.0355407047387606,0.433576346699068,0.0541717294451195,0.0894086674767112,0.00192385581206966,0,0
"20",0.42257663160276,0,0.00803076575048071,0,0,0.061644610338197,0.0170795158918674,0.0540662820947857,0.105191720393621,0.266372582287072,0.0650378916412171,0,0,0
"21",0.778319123020706,0,0,0.0478075517661389,0.0123832724319935,0.0628298822574097,0.0240560292326431,0.0332927324401137,0.0101502233049127,0.019995939910678,0.011165245635404,0,0,0
"22",0.9235,0,0.0074,0.0166,0.0064,0.035,0.0035,0.0055,0,0,0.0021,0,0,0
"23未风化点",0.557409326424871,0.0820725388601036,0,0.00518134715025907,0.00735751295336788,0.0147150259067358,0,0.0309844559585492,0.175958549222798,0.122901554404145,0,0.00341968911917098,0,0
"24",0.323017799352751,0,0,0.00475323624595469,0,0.0160800970873786,0,0.0855582524271845,0.294700647249191,0.265271035598705,0.00141585760517799,0.00920307443365696,0,0
"25未风化点",0.521430043272203,0.0237997115186483,0,0.0064908304141768,0,0.0195755202967237,0.0159695033999588,0.0115392540696476,0.328662682876571,0.0685143210385329,0.00195755202967237,0.00206058108386565,0,0
"26",0.198256862352234,0,0,0.0144259667401322,0,0.00701262272089761,0,0.105890603085554,0.295832498497295,0.323081546784212,0.0313564415948708,0.00450811460629132,0,0.0196353436185133
"26严重风化点",0.0372409650615677,0,0.00400440484532986,0.0301331464611072,0,0.0118129942937231,0,0.0360396436079688,0.299529482430674,0.354890379417359,0.0604665131644809,0.00620682751026129,0,0.159675643207528
"27",0.938366562088857,0,0,0.00951320716526667,0.00546503390345107,0.0254022872178929,0.0020240866309078,0.0155854670579901,0,0,0.00364335593563405,0,0,0
"28未风化点",0.689836862904043,0,0.00263451210862296,0.0135778700982876,0.0101327388793191,0.0476238727327997,0.00415442294052082,0.0033438038301753,0.173675144391529,0.0409362650724491,0.0105380484344918,0.00121592866551829,0.00233052994224339,0
"29未风化点",0.633760512615138,0.0092110532639167,0.00300360432519023,0.0298358029635563,0.0149179014817781,0.143572286744093,0.00810973167801362,0.00740889066880256,0.123247897476972,0.0203243892671205,0.00410492591109331,0.00250300360432519,0,0
"30部位1",0.350587034201123,0,0.0143950995405819,0.0458397141398673,0.0100051046452272,0.0444104134762634,0.0216436957631445,0,0.400408371618172,0.105053598774885,0,0.0035732516590097,0.00408371618172537,0
"30部位2",0.374164133738602,0,0,0.0429584599797366,0.00516717325227964,0.0391084093211753,0.0277608915906788,0,0.382370820668693,0.104863221884498,0.0142857142857143,0.00486322188449848,0.00445795339412361,0
"31",0.669612922889363,0,0,0.0162552067459108,0.00904195875241288,0.0315960581123641,0.0466321243523316,0.00447018185512547,0.168139794778015,0.0347455044193843,0.0164583968302347,0.00304785126485827,0,0
"32",0.706568011352118,0,0.00212852219744577,0.00466247719440503,0,0.0239205351712954,0.010135819987837,0.00111494019866207,0.200283802959659,0.0494628015406446,0.00172308939793229,0,0,0
"33",0.755402160864346,0,0.00150060024009604,0.00640256102440976,0.0100040016006403,0.0235094037615046,0,0.00470188075230092,0.161664665866347,0.0355142056822729,0.00130052020808323,0,0,0
"34",0.366899097621001,0,0.00256357670221493,0.00799835931091058,0,0.0166119770303528,0.00481952420016407,0.0154840032813782,0.47733798195242,0.102543068088597,0.00348646431501231,0.00225594749794914,0,0
"35",0.685063922669161,0,0,0.00394969337906663,0,0.0149672591206735,0.00176696809063507,0.00166302879118595,0.229186155285313,0.0590375220871011,0.00436545057686311,0,0,0
"36",0.405305746184574,0.0227389122196046,0.00143398545529038,0.00378981870326744,0,0.0163884052033187,0.00327768104066373,0.00696507221141043,0.426200962818806,0.110929017719963,0.000716992727645191,0.00225340571545631,0,0
"37",0.601320264052811,0,0.0023004600920184,0.00890178035607122,0,0.0272054410882176,0,0.0301060212042409,0.172434486897379,0.103420684136827,0.0146029205841168,0.00310062012402481,0,0.0366073214642929
"38",0.334077305468195,0.0140002029014913,0,0.00689865070508268,0,0.026072841635386,0.00294207162422644,0.00740590443339758,0.500253626864157,0.099320280004058,0.00486963579182307,0.00415948057218221,0,0
"39",0.265795868772782,0,0,0.0112393681652491,0,0.0050627784528149,0,0.00891049007695423,0.617962737950587,0.0731065208586472,0.0117456460105306,0.00617658971243418,0,0
"40",0.169524196002841,0,0,0.0189712894389774,0,0.00456528355483413,0.00192756416759663,0,0.712285685299787,0.0678705488485341,0.0179567819823476,0.00689865070508268,0,0
"41",0.196990716038843,0,0.00469533667698218,0.0529292498132537,0.0291324298367303,0.0355351616689788,0.0191014832995411,0.00202753174687867,0.470814214064668,0.104151104471241,0.0796072991142888,0.0050154732685946,0,0
"42未风化点1",0.52300785634119,0.0585654525048465,0.00153045607591062,0.00806040199979594,0.0111213141516172,0.03601673298643,0,0.0272421181512091,0.223242526272829,0.106825834098561,0.000816243240485665,0.00357106417712478,0,0
"42未风化点2",0.524310520939734,0.0580183861082737,0.00357507660878447,0,0.0118488253319714,0.0578140960163432,0,0.0277834525025536,0.205515832482125,0.111133810010215,0,0,0,0
"43部位1",0.131073088297423,0,0,0.0553443177017321,0.00940008449514153,0.0237642585551331,0.0080270384452894,0.0565061258977609,0.63212927756654,0.0769961977186312,0,0.00675961132234896,0,0
"43部位2",0.224475018102824,0,0,0.0662046136340126,0.00982724733629875,0.0352746457018724,0.0143788145236371,0.0156201510292749,0.462915071894073,0.0337229750698252,0.132719561394435,0.0048619013137478,0,0
"44未风化点",0.612792574656981,0.0308716707021792,0.00201775625504439,0.021589991928975,0,0.128026634382567,0.0077683615819209,0.00433817594834544,0.137308313155771,0.0526634382566586,0,0.00262308313155771,0,0
"45",0.623144193613992,0.0270490136261948,0.00111856823266219,0.0085417937766931,0.00752491356518202,0.0508440105755542,0,0.00538946512100875,0.162599145820622,0.111450071181615,0,0.00233882448647549,0,0
"46",0.559768833012268,0,0.00253472574267464,0,0.0169319679610666,0.0485653452296462,0,0.0078069552874379,0.256007300010139,0.101997363885228,0.00202778059413971,0.00435972827740038,0,0
"47",0.529919802590993,0.0479128110220029,0.00298169853999589,0.00894509561998766,0.0062718486530948,0.0314620604565083,0,0.00668311741723216,0.261155665227226,0.0949002673246967,0.00102817191034341,0.00873946123791898,0,0
"48",0.537763436523142,0.00806695573258042,0.00322678229303217,0.028436018957346,0.0155288897852173,0.137642432187153,0.0103862055056973,0,0.158414843198548,0.0737118080064536,0.0110920641322981,0.00252092366643138,0.0132096400121004,0
"49",0.301465968586387,0,0,0.0479581151832461,0.0153926701570681,0.0563350785340314,0.0286910994764398,0.00732984293193717,0.357905759162304,0.0638743455497382,0.116230366492147,0.00481675392670157,0,0
"49未风化点",0.555883550488599,0,0.00305374592833876,0.0211726384364821,0.012214983713355,0.0661644951140065,0.0129275244299674,0.00458061889250814,0.234324104234528,0.0426506514657981,0.0439739413680782,0.00305374592833876,0,0
"50",0.199401131196629,0,0,0.0353776200510147,0.00521237662193634,0.0207386048574914,0.00365975379838084,0.012531884218698,0.487967173117445,0.15748031496063,0.0703116335810136,0.00731950759676167,0,0
"50未风化点",0.464410975861358,0,0,0.0321848566123375,0.00557045595213534,0.0429131421497834,0,0.0072209614194347,0.315762327212709,0.0641634000412626,0.0654012791417372,0.00237260160924283,0,0
"51部位1",0.258155879576209,0,0,0.0375537606210007,0.0124829539494388,0.0550718556592888,0.0124829539494388,0.0143711318577573,0.422112661281863,0.0937795027798175,0.0849680058743313,0.00409105213469002,0.0049302423161649,0
"51部位2",0.232824427480916,0,0,0.0559432933478735,0.0158124318429662,0.0273718647764449,0.00458015267175572,0.00817884405670665,0.559869138495093,0,0.0954198473282443,0,0,0
"52",0.27359693877551,0.0129676870748299,0,0.0241284013605442,0.00584608843537415,0.0123299319727891,0.00244472789115646,0.00744047619047619,0.504039115646259,0.0918367346938776,0.0606930272108844,0.00467687074829932,0,0
"53未风化点",0.64793893129771,0.030941475826972,0.00111959287531807,0.00793893129770992,0.0116030534351145,0.0616793893129771,0,0.00549618320610687,0.139033078880407,0.091501272264631,0,0.00274809160305344,0,0
"54",0.223537674325273,0,0.00321059496337915,0.0320056185411859,0.0128423798535166,0.0416374034313234,0,0.00832748068626467,0.556436239590649,0.0706330891943413,0.0425403832647738,0.00882913614929267,0,0
"54严重风化点",0.176537350392076,0,0,0,0.0114527445315724,0.0376599257119274,0,0.0138258357408172,0.603177878662815,0,0.145790342550557,0.0115559224102352,0,0
"55",0.50850798920938,0.0281178667773397,0,0.0117244241543889,0,0.0150446150653663,0,0.00892301307325171,0.341564639966798,0.0824859929445943,0.00363145880888151,0,0,0
"56",0.316023417172593,0,0,0.0131179531656548,0,0.0200563746747615,0,0.00856461405030356,0.447202948829141,0.167497831743278,0.0275368603642671,0,0,0
"57",0.274899967557046,0,0,0.0141667567859846,0,0.0235752135827836,0,0.0125446090623986,0.487725748891532,0.187087704120255,0,0,0,0
"58",0.30771567436209,0,0.00344268934791414,0.035338193600648,0.00799918995544755,0.0356419603078169,0.00870797893884164,0.0316929931146213,0.398440664236533,0.0775617658971243,0.091028756581612,0.00243013365735115,0,0
